,event,gender,year,meantime,meantime_demeanor,meantime_demeaned,event_name
0,11074,F,2003,177.45833333333334,10602.8125,0.7447916666666666,Seattle
1,11074,F,2007,179.96666666666667,10602.8125,3.253125,Seattle
2,11074,F,2012,169.425,10602.8125,-7.288541666666666,Seattle
3,11074,F,2013,178.59166666666667,10602.8125,1.878125,Seattle
4,11074,F,2014,177.5,10602.8125,0.7864583333333334,Seattle
5,11074,F,2015,178.65,10602.8125,1.9364583333333334,Seattle
6,11074,F,2016,177.3,10602.8125,0.5864583333333333,Seattle
7,11074,F,2018,174.81666666666666,10602.8125,-1.896875,Seattle
8,11074,M,2000,169.090625,10211.964119763945,-1.1087769960657472,Seattle
9,11074,M,2001,171.39444444444445,10211.964119763945,1.195042448378687,Seattle
10,11074,M,2002,175.05701754385964,10211.964119763945,4.85761554779389,Seattle
11,11074,M,2003,168.55444444444444,10211.964119763945,-1.6449575516213069,Seattle
12,11074,M,2004,170.00595238095238,10211.964119763945,-0.19344961511336198,Seattle
13,11074,M,2005,171.1125,10211.964119763945,0.9130980039342528,Seattle
14,11074,M,2006,172.03076923076924,10211.964119763945,1.8313672347034904,Seattle
15,11074,M,2007,169.7824561403509,10211.964119763945,-0.4169458557148573,Seattle
16,11074,M,2008,172.12222222222223,10211.964119763945,1.922820226156485,Seattle
17,11074,M,2009,167.72619047619048,10211.964119763945,-2.473211519875258,Seattle
18,11074,M,2010,167.4142857142857,10211.964119763945,-2.7851162817800286,Seattle
19,11074,M,2011,172.34375,10211.964119763945,2.144348003934253,Seattle
20,11074,M,2012,169.068115942029,10211.964119763945,-1.1312860540367486,Seattle
21,11074,M,2013,168.70266666666666,10211.964119763945,-1.496735329399083,Seattle
22,11074,M,2014,167.10111111111112,10211.964119763945,-3.098290884954622,Seattle
23,11074,M,2015,171.8,10211.964119763945,1.6005980039342527,Seattle
24,11074,M,2016,169.00694444444443,10211.964119763945,-1.192457551621313,Seattle
25,11074,M,2017,169.05185185185186,10211.964119763945,-1.147550144213892,Seattle
26,11074,M,2018,169.94,10211.964119763945,-0.2594019960657533,Seattle
27,11074,M,2019,172.68269230769232,10211.964119763945,2.4832903116265697,Seattle
28,11167,M,2003,178.53333333333333,10157.136363636364,9.247727272727268,Walter Childs Memorial Race Of Champions
29,11167,M,2004,179.53333333333333,10157.136363636364,10.247727272727268,Walter Childs Memorial Race Of Champions
30,11167,M,2005,178.33333333333334,10157.136363636364,9.047727272727267,Walter Childs Memorial Race Of Champions
31,11167,M,2007,170.05833333333334,10157.136363636364,0.7727272727272673,Walter Childs Memorial Race Of Champions
32,11167,M,2009,175.23333333333332,10157.136363636364,5.947727272727267,Walter Childs Memorial Race Of Champions
33,11167,M,2011,166.06666666666666,10157.136363636364,-3.2189393939393995,Walter Childs Memorial Race Of Champions
34,11167,M,2012,166.48333333333332,10157.136363636364,-2.8022727272727326,Walter Childs Memorial Race Of Champions
35,11167,M,2013,168.81666666666666,10157.136363636364,-0.46893939393939943,Walter Childs Memorial Race Of Champions
36,11167,M,2015,159.65833333333333,10157.136363636364,-9.627272727272732,Walter Childs Memorial Race Of Champions
37,11167,M,2016,164.59166666666667,10157.136363636364,-4.6939393939394,Walter Childs Memorial Race Of Champions
38,11167,M,2017,154.83333333333334,10157.136363636364,-14.452272727272733,Walter Childs Memorial Race Of Champions
39,106046,F,2019,178.98333333333332,10739.0,0.0,Ann Arbor
40,106046,M,2013,168.21666666666667,10313.309523809523,-3.6718253968253824,Ann Arbor
41,106046,M,2014,178.15,10313.309523809523,6.261507936507951,Ann Arbor
