event,gender,year,meantime,meantime_demeanor,meantime_demeaned,event_name
11074,F,2000,268.29857660455485,16375.941783670505,-4.633786456620206,Seattle
11074,F,2001,270.7623492063492,16375.941783670505,-2.170013854825872,Seattle
11074,F,2002,267.8688340807175,16375.941783670505,-5.0635289804575825,Seattle
11074,F,2003,273.3752865329513,16375.941783670505,0.4429234717761877,Seattle
11074,F,2004,268.4322291666667,16375.941783670505,-4.5001338945084175,Seattle
11074,F,2005,270.91031307550645,16375.941783670505,-2.0220499856686427,Seattle
11074,F,2006,275.58297345928924,16375.941783670505,2.6506103981141678,Seattle
11074,F,2007,266.1627943485086,16375.941783670505,-6.769568712666447,Seattle
11074,F,2008,272.3439572425829,16375.941783670505,-0.5884058185921882,Seattle
11074,F,2009,271.7850955414013,16375.941783670505,-1.1472675197738076,Seattle
11074,F,2010,273.13725838264304,16375.941783670505,0.20489532146793862,Seattle
11074,F,2011,276.2830578512397,16375.941783670505,3.3506947900646082,Seattle
11074,F,2012,270.2634130146082,16375.941783670505,-2.668950046566867,Seattle
11074,F,2013,279.5266756635177,16375.941783670505,6.594312602342658,Seattle
11074,F,2014,276.3179824561403,16375.941783670505,3.3856193949652456,Seattle
11074,F,2015,274.3212485681558,16375.941783670505,1.3888855069806898,Seattle
11074,F,2016,270.3034482758621,16375.941783670505,-2.628914785313009,Seattle
11074,F,2017,278.20257768361586,16375.941783670505,5.2702146224407445,Seattle
11074,F,2018,273.1582010582011,16375.941783670505,0.2258379970259739,Seattle
11074,F,2019,281.61098901098904,16375.941783670505,8.678625949813947,Seattle
11074,M,2000,246.12905004240883,15035.764577350725,-4.46702624676991,Seattle
11074,M,2001,247.3397379269729,15035.764577350725,-3.2563383622058306,Seattle
11074,M,2002,243.31281951975214,15035.764577350725,-7.283256769426619,Seattle
11074,M,2003,247.7660143769968,15035.764577350725,-2.8300619121819484,Seattle
11074,M,2004,245.10798975075704,15035.764577350725,-5.488086538421703,Seattle
11074,M,2005,243.10090024330898,15035.764577350725,-7.495176045869751,Seattle
11074,M,2006,253.37062451811875,15035.764577350725,2.7745482289399965,Seattle
11074,M,2007,246.3497408619749,15035.764577350725,-4.2463354272038485,Seattle
11074,M,2008,251.5125091441112,15035.764577350725,0.9164328549324333,Seattle
11074,M,2009,251.16890143495647,15035.764577350725,0.5728251457777332,Seattle
11074,M,2010,251.1813456705506,15035.764577350725,0.5852693813718663,Seattle
11074,M,2011,254.74807098765433,15035.764577350725,4.151994698475574,Seattle
11074,M,2012,250.01997601918464,15035.764577350725,-0.5761002699940946,Seattle
11074,M,2013,254.89661277906083,15035.764577350725,4.300536489882082,Seattle
11074,M,2014,256.96519386834984,15035.764577350725,6.369117579171113,Seattle
11074,M,2015,250.88268333333332,15035.764577350725,0.28660704415457683,Seattle
11074,M,2016,253.02459373761394,15035.764577350725,2.4285174484351955,Seattle
11074,M,2017,257.7213293650794,15035.764577350725,7.125253075900613,Seattle
11074,M,2018,252.73333333333332,15035.764577350725,2.137257044154588,Seattle
11074,M,2019,254.5900988700565,15035.764577350725,3.994022580877754,Seattle
11167,F,2000,264.4875,15895.513215137093,-0.43772025228487715,Walter Childs Memorial Race Of Champions
11167,F,2001,257.1016666666667,15895.513215137093,-7.823553585618204,Walter Childs Memorial Race Of Champions
11167,F,2002,257.2063218390805,15895.513215137093,-7.718898413204412,Walter Childs Memorial Race Of Champions
11167,F,2003,266.7388888888889,15895.513215137093,1.8136686366040218,Walter Childs Memorial Race Of Champions
11167,F,2004,263.22291666666666,15895.513215137093,-1.7023035856182105,Walter Childs Memorial Race Of Champions
11167,F,2005,265.03235294117644,15895.513215137093,0.10713268889157916,Walter Childs Memorial Race Of Champions
11167,F,2006,251.01818181818183,15895.513215137093,-13.907038434103045,Walter Childs Memorial Race Of Champions
11167,F,2007,282.45384615384614,15895.513215137093,17.52862590156128,Walter Childs Memorial Race Of Champions
11167,F,2008,276.79555555555555,15895.513215137093,11.870335303270682,Walter Childs Memorial Race Of Champions
11167,F,2009,260.54583333333335,15895.513215137093,-4.3793869189515435,Walter Childs Memorial Race Of Champions
11167,F,2010,265.9809523809524,15895.513215137093,1.055732128667508,Walter Childs Memorial Race Of Champions
11167,F,2011,256.909375,15895.513215137093,-8.015845252284878,Walter Childs Memorial Race Of Champions
11167,F,2012,247.7,15895.513215137093,-17.225220252284878,Walter Childs Memorial Race Of Champions
11167,F,2013,257.1357142857143,15895.513215137093,-7.789505966570596,Walter Childs Memorial Race Of Champions
11167,F,2014,273.13092369477914,15895.513215137093,8.205703442494269,Walter Childs Memorial Race Of Champions
11167,F,2015,293.90744680851066,15895.513215137093,28.98222655622576,Walter Childs Memorial Race Of Champions
11167,F,2016,277.4320512820513,15895.513215137093,12.506831029766424,Walter Childs Memorial Race Of Champions
11167,F,2017,277.7745833333333,15895.513215137093,12.849363081048432,Walter Childs Memorial Race Of Champions
11167,F,2018,268.6956790123457,15895.513215137093,3.770458760060804,Walter Childs Memorial Race Of Champions
11167,F,2019,235.2346153846154,15895.513215137093,-29.69060486766948,Walter Childs Memorial Race Of Champions
11167,M,2000,242.89319727891154,14736.399795564119,-2.713465980490431,Walter Childs Memorial Race Of Champions
11167,M,2001,225.19363636363636,14736.399795564119,-20.41302689576563,Walter Childs Memorial Race Of Champions
11167,M,2002,240.43122362869198,14736.399795564119,-5.175439630709994,Walter Childs Memorial Race Of Champions
11167,M,2003,232.19662447257386,14736.399795564119,-13.410038786828135,Walter Childs Memorial Race Of Champions
11167,M,2004,242.57029914529915,14736.399795564119,-3.036364114102829,Walter Childs Memorial Race Of Champions
11167,M,2005,244.5489898989899,14736.399795564119,-1.0576733604120818,Walter Childs Memorial Race Of Champions
11167,M,2006,240.59877192982455,14736.399795564119,-5.007891329577433,Walter Childs Memorial Race Of Champions
11167,M,2007,252.25338164251207,14736.399795564119,6.646718383110086,Walter Childs Memorial Race Of Champions
11167,M,2008,251.09,14736.399795564119,5.483336740598012,Walter Childs Memorial Race Of Champions
11167,M,2009,230.05499999999998,14736.399795564119,-15.551663259401995,Walter Childs Memorial Race Of Champions
11167,M,2010,256.9497126436782,14736.399795564119,11.343049384276188,Walter Childs Memorial Race Of Champions
11167,M,2011,242.06119791666666,14736.399795564119,-3.545465342735315,Walter Childs Memorial Race Of Champions
11167,M,2012,232.66818181818184,14736.399795564119,-12.93848144122015,Walter Childs Memorial Race Of Champions
11167,M,2013,239.48733333333334,14736.399795564119,-6.1193299260686524,Walter Childs Memorial Race Of Champions
11167,M,2014,259.2478947368421,14736.399795564119,13.641231477440124,Walter Childs Memorial Race Of Champions
11167,M,2015,261.24508196721314,14736.399795564119,15.63841870781113,Walter Childs Memorial Race Of Champions
11167,M,2016,254.04939393939395,14736.399795564119,8.442730679991959,Walter Childs Memorial Race Of Champions
11167,M,2017,262.8224867724868,14736.399795564119,17.215823513084796,Walter Childs Memorial Race Of Champions
11167,M,2018,258.66622807017546,14736.399795564119,13.059564810773463,Walter Childs Memorial Race Of Champions
11167,M,2019,243.1046296296296,14736.399795564119,-2.5020336297723587,Walter Childs Memorial Race Of Champions
106046,F,2012,282.6733187134503,16458.822329606122,8.359613220014944,Ann Arbor
106046,F,2013,270.68961352657004,16458.822329606122,-3.624091966865338,Ann Arbor
106046,F,2014,271.7541095890411,16458.822329606122,-2.559595904394276,Ann Arbor
106046,F,2015,269.1155,16458.822329606122,-5.198205493435368,Ann Arbor
106046,F,2016,270.50698529411767,16458.822329606122,-3.806720199317715,Ann Arbor
106046,F,2017,274.0053623188406,16458.822329606122,-0.3083431745947867,Ann Arbor
106046,F,2018,277.0736625514403,16458.822329606122,2.7599570580049355,Ann Arbor
106046,F,2019,278.691091954023,16458.822329606122,4.377386460587634,Ann Arbor
106046,M,2012,263.0404425612053,15369.216927804267,6.886827097800809,Ann Arbor
106046,M,2013,255.45168612191958,15369.216927804267,-0.7019293414848714,Ann Arbor
106046,M,2014,257.02389210019265,15369.216927804267,0.8702766367882153,Ann Arbor
106046,M,2015,257.65249597423514,15369.216927804267,1.4988805108306527,Ann Arbor
106046,M,2016,251.68375,15369.216927804267,-4.469865463404464,Ann Arbor
106046,M,2017,251.9373263888889,15369.216927804267,-4.216289074515559,Ann Arbor
106046,M,2018,254.79734513274337,15369.216927804267,-1.356270330661088,Ann Arbor
106046,M,2019,257.641985428051,15369.216927804267,1.4883699646465478,Ann Arbor
118259,F,1995,249.44030303030303,15806.79712963407,-14.00631579693145,Buffalo
118259,F,1996,246.10322128851539,15806.79712963407,-17.343397538719092,Buffalo
118259,F,1997,249.7581632653061,15806.79712963407,-13.688455561928368,Buffalo
118259,F,1998,254.2086129753915,15806.79712963407,-9.23800585184299,Buffalo
118259,F,1999,248.52991452991452,15806.79712963407,-14.916704297319969,Buffalo
118259,F,2001,268.61601941747574,15806.79712963407,5.169400590241245,Buffalo
118259,F,2002,259.8214611872146,15806.79712963407,-3.6251576400198853,Buffalo
118259,F,2003,257.33460559796436,15806.79712963407,-6.112013229270118,Buffalo
118259,F,2004,267.5132456140351,15806.79712963407,4.0666267868005885,Buffalo
118259,F,2005,263.98808080808084,15806.79712963407,0.5414619808463309,Buffalo
118259,F,2006,269.0807471264368,15806.79712963407,5.634128299202287,Buffalo
118259,F,2007,263.6395390070922,15806.79712963407,0.19292017985771964,Buffalo
118259,F,2009,269.57201492537314,15806.79712963407,6.125396098138633,Buffalo
118259,F,2010,276.341512345679,15806.79712963407,12.894893518444526,Buffalo
118259,F,2011,284.1470517448857,15806.79712963407,20.700432917651174,Buffalo
118259,F,2013,263.46292246520875,15806.79712963407,0.01630363797424555,Buffalo
118259,F,2017,276.86421087098887,15806.79712963407,13.417592043754363,Buffalo
