event,gender,year,bin_width,bin_center,freq,total,density,event_name
4476,F,1995,5.0,18.5,62,4690,0.013219616204690832,Houston
4476,F,1995,5.0,23.5,436,4690,0.0929637526652452,Houston
4476,F,1995,5.0,28.5,979,4690,0.20874200426439232,Houston
4476,F,1995,5.0,33.5,1062,4690,0.22643923240938166,Houston
4476,F,1995,5.0,38.5,1011,4690,0.21556503198294244,Houston
4476,F,1995,5.0,43.5,673,4690,0.14349680170575693,Houston
4476,F,1995,5.0,48.5,305,4690,0.0650319829424307,Houston
4476,F,1995,5.0,53.5,118,4690,0.02515991471215352,Houston
4476,F,1995,5.0,58.5,32,4690,0.006823027718550106,Houston
4476,F,1995,5.0,63.5,10,4690,0.0021321961620469083,Houston
4476,F,1995,5.0,68.5,2,4690,0.00042643923240938164,Houston
4476,F,2000,5.0,18.5,131,7396,0.01771227690643591,Houston
4476,F,2000,5.0,23.5,712,7396,0.09626825310978908,Houston
4476,F,2000,5.0,28.5,1363,7396,0.18428880475932938,Houston
4476,F,2000,5.0,33.5,1402,7396,0.1895619253650622,Houston
4476,F,2000,5.0,38.5,1336,7396,0.18063818280151434,Houston
4476,F,2000,5.0,43.5,1269,7396,0.17157923201730665,Houston
4476,F,2000,5.0,48.5,727,7396,0.09829637641968632,Houston
4476,F,2000,5.0,53.5,310,7396,0.041914548404543,Houston
4476,F,2000,5.0,58.5,101,7396,0.013656030286641427,Houston
4476,F,2000,5.0,63.5,36,7396,0.0048674959437533805,Houston
4476,F,2000,5.0,68.5,6,7396,0.0008112493239588967,Houston
4476,F,2000,5.0,73.5,2,7396,0.00027041644131963225,Houston
4476,F,2000,5.0,78.5,1,7396,0.00013520822065981613,Houston
4476,F,2005,5.0,18.5,179,9925,0.018035264483627203,Houston
4476,F,2005,5.0,23.5,912,9925,0.09188916876574307,Houston
4476,F,2005,5.0,28.5,1654,9925,0.16664987405541562,Houston
4476,F,2005,5.0,33.5,1728,9925,0.17410579345088162,Houston
4476,F,2005,5.0,38.5,1900,9925,0.19143576826196473,Houston
4476,F,2005,5.0,43.5,1630,9925,0.16423173803526447,Houston
4476,F,2005,5.0,48.5,1126,9925,0.11345088161209067,Houston
4476,F,2005,5.0,53.5,535,9925,0.05390428211586902,Houston
4476,F,2005,5.0,58.5,185,9925,0.018639798488664986,Houston
4476,F,2005,5.0,63.5,61,9925,0.006146095717884131,Houston
4476,F,2005,5.0,68.5,12,9925,0.0012090680100755667,Houston
4476,F,2005,5.0,73.5,2,9925,0.00020151133501259446,Houston
4476,F,2005,5.0,78.5,1,9925,0.00010075566750629723,Houston
4476,F,2010,5.0,18.5,162,12899,0.012559113109543375,Houston
4476,F,2010,5.0,23.5,891,12899,0.06907512210248856,Houston
4476,F,2010,5.0,28.5,2115,12899,0.16396619893014963,Houston
4476,F,2010,5.0,33.5,2368,12899,0.18358012249011552,Houston
4476,F,2010,5.0,38.5,2432,12899,0.1885417474222808,Houston
4476,F,2010,5.0,43.5,2090,12899,0.16202806419102256,Houston
4476,F,2010,5.0,48.5,1448,12899,0.11225676409023955,Houston
4476,F,2010,5.0,53.5,859,12899,0.06659430963640592,Houston
4476,F,2010,5.0,58.5,385,12899,0.029847274982556786,Houston
