prop_numerator,proportion,event,year,gender,bin_center,proportion_demeanor,proportion_demeaned,event_name
"[9015.0, 9075.0)",40.546510810816436,34956,1995,M,2.5125,91.88437822062129,-51.33786740980485,Grandmas
"[9015.0, 9075.0)",69.31471805599453,34956,1997,M,2.5125,91.88437822062129,-22.569660164626754,Grandmas
"[9015.0, 9075.0)",138.62943611198907,34956,1998,M,2.5125,91.88437822062129,46.74505789136778,Grandmas
"[9015.0, 9075.0)",69.31471805599453,34956,1999,M,2.5125,91.88437822062129,-22.569660164626754,Grandmas
"[9015.0, 9075.0)",138.62943611198907,34956,2000,M,2.5125,91.88437822062129,46.74505789136778,Grandmas
"[9015.0, 9075.0)",69.31471805599453,34956,2001,M,2.5125,91.88437822062129,-22.569660164626754,Grandmas
"[9015.0, 9075.0)",69.31471805599453,34956,2002,M,2.5125,91.88437822062129,-22.569660164626754,Grandmas
"[9015.0, 9075.0)",160.94379124341003,34956,2003,M,2.5125,91.88437822062129,69.05941302278875,Grandmas
"[9015.0, 9075.0)",69.31471805599453,34956,2011,M,2.5125,91.88437822062129,-22.569660164626754,Grandmas
"[9015.0, 9075.0)",109.86122886681098,34956,2012,M,2.5125,91.88437822062129,17.97685064618969,Grandmas
"[9015.0, 9075.0)",40.546510810816436,34956,2013,M,2.5125,91.88437822062129,-51.33786740980485,Grandmas
"[9015.0, 9075.0)",69.31471805599453,34956,2015,M,2.5125,91.88437822062129,-22.569660164626754,Grandmas
"[9015.0, 9075.0)",69.31471805599453,34956,2017,M,2.5125,91.88437822062129,-22.569660164626754,Grandmas
"[9015.0, 9075.0)",138.62943611198907,34956,2018,M,2.5125,91.88437822062129,46.74505789136778,Grandmas
"[9015.0, 9075.0)",125.2762968495368,34956,2019,M,2.5125,91.88437822062129,33.39191862891552,Grandmas
"[9015.0, 9075.0)",-69.31471805599453,34956,1999,F,2.5125,34.657359027997266,-103.97207708399179,Grandmas
"[9015.0, 9075.0)",69.31471805599453,34956,2011,F,2.5125,34.657359027997266,34.657359027997266,Grandmas
"[9015.0, 9075.0)",69.31471805599453,34956,2013,F,2.5125,34.657359027997266,34.657359027997266,Grandmas
"[9015.0, 9075.0)",69.31471805599453,34956,2018,F,2.5125,34.657359027997266,34.657359027997266,Grandmas
"[9015.0, 9075.0)",69.31471805599453,4476,1995,M,2.5125,76.4372867162271,-7.122568660232574,Houston
"[9015.0, 9075.0)",40.546510810816436,4476,1996,M,2.5125,76.4372867162271,-35.89077590541067,Houston
