event,year,gender,freq,event_name
4476,1995,F,13,Houston
4476,1995,M,80,Houston
4476,1996,F,16,Houston
4476,1996,M,51,Houston
4476,1997,F,8,Houston
4476,1997,M,44,Houston
4476,1998,F,19,Houston
4476,1998,M,34,Houston
4476,2000,F,10,Houston
4476,2000,M,19,Houston
4476,2001,F,3,Houston
4476,2001,M,19,Houston
4476,2002,F,2,Houston
4476,2002,M,35,Houston
4476,2003,F,2,Houston
4476,2003,M,39,Houston
4476,2004,F,12,Houston
4476,2004,M,29,Houston
4476,2005,F,6,Houston
4476,2005,M,42,Houston
4476,2006,F,8,Houston
4476,2006,M,33,Houston
4476,2007,F,12,Houston
4476,2007,M,28,Houston
4476,2008,F,16,Houston
4476,2008,M,34,Houston
4476,2009,F,5,Houston
4476,2009,M,33,Houston
4476,2010,F,10,Houston
4476,2010,M,35,Houston
4476,2011,F,15,Houston
4476,2011,M,34,Houston
4476,2012,F,17,Houston
4476,2012,M,100,Houston
4476,2013,F,13,Houston
4476,2013,M,40,Houston
4476,2014,F,10,Houston
4476,2014,M,49,Houston
4476,2015,F,12,Houston
4476,2015,M,42,Houston
4476,2016,F,32,Houston
4476,2016,M,71,Houston
4476,2017,F,15,Houston
4476,2017,M,40,Houston
4476,2018,F,25,Houston
4476,2018,M,84,Houston
34956,1995,F,37,Grandmas
34956,1995,M,138,Grandmas
34956,1997,F,9,Grandmas
34956,1997,M,65,Grandmas
34956,1998,F,21,Grandmas
34956,1998,M,80,Grandmas
34956,1999,F,13,Grandmas
34956,1999,M,40,Grandmas
34956,2000,M,211,Grandmas
34956,2001,F,11,Grandmas
34956,2001,M,34,Grandmas
34956,2002,F,27,Grandmas
34956,2002,M,67,Grandmas
34956,2003,F,22,Grandmas
34956,2003,M,55,Grandmas
34956,2004,F,3,Grandmas
34956,2004,M,17,Grandmas
34956,2005,F,5,Grandmas
34956,2005,M,47,Grandmas
34956,2006,F,6,Grandmas
34956,2006,M,14,Grandmas
34956,2007,F,4,Grandmas
34956,2007,M,24,Grandmas
34956,2009,F,3,Grandmas
34956,2009,M,6,Grandmas
34956,2010,F,2,Grandmas
34956,2010,M,13,Grandmas
34956,2011,F,31,Grandmas
34956,2011,M,62,Grandmas
34956,2012,F,15,Grandmas
34956,2012,M,64,Grandmas
34956,2013,F,14,Grandmas
34956,2013,M,94,Grandmas
34956,2014,F,42,Grandmas
34956,2014,M,129,Grandmas
34956,2015,F,50,Grandmas
34956,2015,M,123,Grandmas
34956,2016,F,12,Grandmas
34956,2016,M,59,Grandmas
34956,2017,F,15,Grandmas
34956,2017,M,83,Grandmas
34956,2018,F,51,Grandmas
34956,2018,M,116,Grandmas
34956,2019,F,93,Grandmas
34956,2019,M,143,Grandmas
96107,1996,F,17,Chicago
96107,1996,M,151,Chicago
96107,1997,F,16,Chicago
96107,1997,M,256,Chicago
96107,1998,F,30,Chicago
96107,1998,M,221,Chicago
96107,1999,F,62,Chicago
96107,1999,M,372,Chicago
96107,2000,F,23,Chicago
96107,2000,M,302,Chicago
96107,2002,F,48,Chicago
96107,2002,M,343,Chicago
96107,2003,F,48,Chicago
96107,2003,M,339,Chicago
96107,2005,F,26,Chicago
96107,2005,M,255,Chicago
96107,2006,F,65,Chicago
96107,2006,M,357,Chicago
96107,2007,F,18,Chicago
96107,2007,M,103,Chicago
96107,2008,F,19,Chicago
96107,2008,M,180,Chicago
96107,2009,F,34,Chicago
96107,2009,M,317,Chicago
96107,2010,F,67,Chicago
96107,2010,M,277,Chicago
96107,2011,F,62,Chicago
96107,2011,M,294,Chicago
96107,2015,F,92,Chicago
96107,2015,M,499,Chicago
96107,2016,F,57,Chicago
96107,2016,M,385,Chicago
96107,2017,F,64,Chicago
96107,2017,M,337,Chicago
96107,2018,F,90,Chicago
96107,2018,M,741,Chicago
96107,2019,F,154,Chicago
96107,2019,M,1069,Chicago
