event,year,gender,freq,event_name
4476,1995,F,171,Houston
4476,1995,M,171,Houston
4476,1996,F,187,Houston
4476,1996,M,201,Houston
4476,1997,F,301,Houston
4476,1997,M,310,Houston
4476,1998,F,335,Houston
4476,1998,M,310,Houston
4476,2000,F,381,Houston
4476,2000,M,395,Houston
4476,2001,F,286,Houston
4476,2001,M,286,Houston
4476,2002,F,326,Houston
4476,2002,M,289,Houston
4476,2003,F,370,Houston
4476,2003,M,304,Houston
4476,2004,F,461,Houston
4476,2004,M,351,Houston
4476,2005,F,465,Houston
4476,2005,M,363,Houston
4476,2006,F,466,Houston
4476,2006,M,286,Houston
4476,2007,F,418,Houston
4476,2007,M,298,Houston
4476,2008,F,447,Houston
4476,2008,M,313,Houston
4476,2009,F,407,Houston
4476,2009,M,318,Houston
4476,2010,F,541,Houston
4476,2010,M,421,Houston
4476,2011,F,582,Houston
4476,2011,M,542,Houston
4476,2012,F,520,Houston
4476,2012,M,472,Houston
4476,2013,F,516,Houston
4476,2013,M,472,Houston
4476,2014,F,520,Houston
4476,2014,M,476,Houston
4476,2015,F,555,Houston
4476,2015,M,481,Houston
4476,2016,F,546,Houston
4476,2016,M,440,Houston
4476,2017,F,541,Houston
4476,2017,M,510,Houston
4476,2018,F,448,Houston
4476,2018,M,416,Houston
34956,1995,F,146,Grandmas
34956,1995,M,167,Grandmas
34956,1997,F,292,Grandmas
34956,1997,M,270,Grandmas
34956,1998,F,314,Grandmas
34956,1998,M,221,Grandmas
34956,1999,F,102,Grandmas
34956,1999,M,111,Grandmas
34956,2000,F,524,Grandmas
34956,2001,F,510,Grandmas
34956,2001,M,381,Grandmas
34956,2002,F,444,Grandmas
34956,2002,M,300,Grandmas
34956,2003,F,412,Grandmas
34956,2003,M,343,Grandmas
34956,2004,F,143,Grandmas
34956,2004,M,117,Grandmas
34956,2005,F,421,Grandmas
34956,2005,M,349,Grandmas
34956,2006,F,207,Grandmas
34956,2006,M,163,Grandmas
34956,2007,F,201,Grandmas
34956,2007,M,242,Grandmas
34956,2009,F,180,Grandmas
34956,2009,M,239,Grandmas
34956,2010,F,167,Grandmas
34956,2010,M,152,Grandmas
34956,2011,F,423,Grandmas
34956,2011,M,263,Grandmas
34956,2012,F,415,Grandmas
34956,2012,M,308,Grandmas
34956,2013,F,321,Grandmas
34956,2013,M,220,Grandmas
34956,2014,F,413,Grandmas
34956,2014,M,230,Grandmas
34956,2015,F,364,Grandmas
34956,2015,M,226,Grandmas
34956,2016,F,718,Grandmas
34956,2016,M,433,Grandmas
34956,2017,F,511,Grandmas
34956,2017,M,352,Grandmas
34956,2018,F,424,Grandmas
34956,2018,M,265,Grandmas
34956,2019,F,424,Grandmas
34956,2019,M,274,Grandmas
96107,1996,F,572,Chicago
96107,1996,M,525,Chicago
96107,1997,F,959,Chicago
96107,1997,M,759,Chicago
96107,1998,F,1479,Chicago
96107,1998,M,1061,Chicago
96107,1999,F,2065,Chicago
96107,1999,M,1347,Chicago
96107,2000,F,2759,Chicago
96107,2000,M,1690,Chicago
96107,2002,F,3191,Chicago
96107,2002,M,1871,Chicago
96107,2003,F,3411,Chicago
96107,2003,M,2197,Chicago
96107,2005,F,3459,Chicago
96107,2005,M,2099,Chicago
96107,2006,F,3457,Chicago
96107,2006,M,2001,Chicago
96107,2007,F,3318,Chicago
96107,2007,M,3265,Chicago
96107,2008,F,4002,Chicago
96107,2008,M,2927,Chicago
96107,2009,F,3587,Chicago
96107,2009,M,2206,Chicago
96107,2010,F,4651,Chicago
96107,2010,M,3054,Chicago
96107,2011,F,4412,Chicago
96107,2011,M,3080,Chicago
96107,2015,F,5284,Chicago
96107,2015,M,3452,Chicago
96107,2016,F,3974,Chicago
96107,2016,M,2399,Chicago
96107,2017,F,4587,Chicago
96107,2017,M,2782,Chicago
96107,2018,F,5327,Chicago
96107,2018,M,3402,Chicago
96107,2019,F,5132,Chicago
96107,2019,M,3031,Chicago
