,year,gender,lat,lon,event,region,state,postal,freq,event_name
0,1995,F,42.88644679999999,-78.8783689,118259,Northeast,New York,NY,110,Buffalo
1,1995,M,42.88644679999999,-78.8783689,118259,Northeast,New York,NY,515,Buffalo
2,1996,F,42.88644679999999,-78.8783689,118259,Northeast,New York,NY,119,Buffalo
3,1996,M,42.88644679999999,-78.8783689,118259,Northeast,New York,NY,462,Buffalo
4,1997,F,42.88644679999999,-78.8783689,118259,Northeast,New York,NY,98,Buffalo
5,1997,M,42.88644679999999,-78.8783689,118259,Northeast,New York,NY,365,Buffalo
6,1998,F,42.88644679999999,-78.8783689,118259,Northeast,New York,NY,149,Buffalo
7,1998,M,42.88644679999999,-78.8783689,118259,Northeast,New York,NY,392,Buffalo
8,1999,F,42.88644679999999,-78.8783689,118259,Northeast,New York,NY,78,Buffalo
9,1999,M,42.88644679999999,-78.8783689,118259,Northeast,New York,NY,307,Buffalo
10,2000,F,42.2042586,-72.6162009,11167,Northeast,Massachusetts,MA,8,Walter Childs Memorial Race Of Champions
11,2000,F,47.6062095,-122.3320708,11074,West,Washington,WA,644,Seattle
12,2000,M,42.2042586,-72.6162009,11167,Northeast,Massachusetts,MA,49,Walter Childs Memorial Race Of Champions
13,2000,M,47.6062095,-122.3320708,11074,West,Washington,WA,1179,Seattle
14,2001,F,42.2042586,-72.6162009,11167,Northeast,Massachusetts,MA,20,Walter Childs Memorial Race Of Champions
15,2001,F,42.88644679999999,-78.8783689,118259,Northeast,New York,NY,103,Buffalo
16,2001,F,47.6062095,-122.3320708,11074,West,Washington,WA,525,Seattle
17,2001,M,42.2042586,-72.6162009,11167,Northeast,Massachusetts,MA,55,Walter Childs Memorial Race Of Champions
18,2001,M,42.88644679999999,-78.8783689,118259,Northeast,New York,NY,294,Buffalo
19,2001,M,47.6062095,-122.3320708,11074,West,Washington,WA,1132,Seattle
20,2002,F,42.2042586,-72.6162009,11167,Northeast,Massachusetts,MA,29,Walter Childs Memorial Race Of Champions
21,2002,F,42.88644679999999,-78.8783689,118259,Northeast,New York,NY,146,Buffalo
22,2002,F,47.6062095,-122.3320708,11074,West,Washington,WA,669,Seattle
23,2002,M,42.2042586,-72.6162009,11167,Northeast,Massachusetts,MA,79,Walter Childs Memorial Race Of Champions
24,2002,M,42.88644679999999,-78.8783689,118259,Northeast,New York,NY,378,Buffalo
25,2002,M,47.6062095,-122.3320708,11074,West,Washington,WA,1291,Seattle
26,2003,F,42.2042586,-72.6162009,11167,Northeast,Massachusetts,MA,18,Walter Childs Memorial Race Of Champions
27,2003,F,42.88644679999999,-78.8783689,118259,Northeast,New York,NY,131,Buffalo
28,2003,F,47.6062095,-122.3320708,11074,West,Washington,WA,698,Seattle
29,2003,M,42.2042586,-72.6162009,11167,Northeast,Massachusetts,MA,79,Walter Childs Memorial Race Of Champions
30,2003,M,42.88644679999999,-78.8783689,118259,Northeast,New York,NY,374,Buffalo
31,2003,M,47.6062095,-122.3320708,11074,West,Washington,WA,1252,Seattle
32,2004,F,42.2042586,-72.6162009,11167,Northeast,Massachusetts,MA,16,Walter Childs Memorial Race Of Champions
33,2004,F,42.88644679999999,-78.8783689,118259,Northeast,New York,NY,190,Buffalo
